city,hotel_name,room_type_name,price,checkin,checkout,url
Lisbon,"The Cloud One Lisbon, Lisbon (updated prices 2026)",Double Room with View,3063891.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/cloud-one-lisbon.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1404934602_415154882_2_2_0&highlighted_blocks=1404934602_415154882_2_2_0&matching_block_id=1404934602_415154882_2_2_0&sr_pri_blocks=1404934602_415154882_2_2_0__14450&from=searchresults
Lisbon,"The Cloud One Lisbon, Lisbon (updated prices 2026)",Double Room with Terrace,4264136.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/cloud-one-lisbon.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=1404934602_415154882_2_2_0&highlighted_blocks=1404934602_415154882_2_2_0&matching_block_id=1404934602_415154882_2_2_0&sr_pri_blocks=1404934602_415154882_2_2_0__14450&from=searchresults
Lisbon,"Hotel Ibis Lisboa Parque das Nações, Lisbon (updated prices 2026)",Standard Double Room,1947336.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/ibis-lisboa-parque-das-nacoes.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=53634905_94487565_2_42_0&highlighted_blocks=53634905_94487565_2_42_0&matching_block_id=53634905_94487565_2_42_0&sr_pri_blocks=53634905_94487565_2_42_0__9540&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Hotel Ibis Lisboa Parque das Nações, Lisbon (updated prices 2026)",Standard Twin Room,1947336.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/ibis-lisboa-parque-das-nacoes.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=53634905_94487565_2_42_0&highlighted_blocks=53634905_94487565_2_42_0&matching_block_id=53634905_94487565_2_42_0&sr_pri_blocks=53634905_94487565_2_42_0__9540&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Hotel Ibis Lisboa Parque das Nações, Lisbon (updated prices 2026)",Premium Double Room,2238212.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/ibis-lisboa-parque-das-nacoes.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=53634905_94487565_2_42_0&highlighted_blocks=53634905_94487565_2_42_0&matching_block_id=53634905_94487565_2_42_0&sr_pri_blocks=53634905_94487565_2_42_0__9540&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Pensao Estacao Central, Lisbon (updated prices 2026)",Double Room,1490102.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/pensao-estacao-central.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=3973302_102613864_0_0_0&highlighted_blocks=3973302_102613864_0_0_0&matching_block_id=3973302_102613864_0_0_0&sr_pri_blocks=3973302_102613864_0_0_0__7300&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Small Double Room,5734969.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Standard Double Room,5765824.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Superior Double Room,8205756.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
Lisbon,"Lisboa Pessoa Hotel, Lisbon (updated prices 2026)",Unique Room,8409880.0,2026-08-08,2026-08-09,https://www.booking.com/hotel/pt/lisboa-pessoa.html?aid=842265&label=mkt123sc-10f81c0b-813f-44f9-98b8-718eb47bb7bc&ucfs=1&arphpl=1&checkin=2026-08-08&checkout=2026-08-09&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=921f59bb993501ce&srepoch=1784983554&all_sr_blocks=195850403_0_2_0_0&highlighted_blocks=195850403_0_2_0_0&matching_block_id=195850403_0_2_0_0&sr_pri_blocks=195850403_0_2_0_0__28096&from_sustainable_property_sr=1&from=searchresults
